"ts_code","trade_date","open","high","low","close","pre_close","change","pct_chg","vol","amount"
"300001.SZ","20240408","19.4","19.54","19.1","19.11","19.5","-0.39","-2","87549.51","168937.536"
"300001.SZ","20240403","19.72","19.83","19.46","19.5","19.75","-0.25","-1.2658","74843","146427.821"
"300001.SZ","20240402","19.82","19.95","19.62","19.75","19.82","-0.07","-0.3532","83752.08","165719.39"
"300001.SZ","20240401","19.36","20.03","19.32","19.82","19.31","0.51","2.6411","110332.75","218321.59"
"300001.SZ","20240329","19.05","19.43","19","19.31","18.95","0.36","1.8997","76319.67","146925.592"
"300001.SZ","20240328","18.9","19.33","18.84","18.95","18.83","0.12","0.6373","118328","226265.668"
"300001.SZ","20240327","19.64","19.7","18.82","18.83","19.65","-0.82","-4.173","123506.5","236662.487"
"300001.SZ","20240326","19.51","20","19.44","19.65","19.52","0.13","0.666","112383","221017.711"
"300001.SZ","20240325","19.79","19.97","19.49","19.52","19.85","-0.33","-1.6625","87138.89","172425.171"
"300001.SZ","20240322","19.97","20.14","19.7","19.85","20","-0.15","-0.75","99132.5","197028.268"
"300001.SZ","20240321","20.3","20.38","19.97","20","20.28","-0.28","-1.3807","111604.02","225085.44"
"300001.SZ","20240320","20.35","20.62","20.08","20.28","20.38","-0.1","-0.4907","134554.71","272867.679"
"300001.SZ","20240319","20.7","20.7","20.35","20.38","20.77","-0.39","-1.8777","119516.15","245223.685"
"300001.SZ","20240318","20.35","20.88","20.35","20.77","20.38","0.39","1.9136","169952.12","352025.23"
"300001.SZ","20240315","20.33","20.55","20.1","20.38","20.37","0.01","0.0491","107932.91","218707.617"
"300001.SZ","20240314","20.46","20.59","20.22","20.37","20.55","-0.18","-0.8759","113331.58","231192.889"
"300001.SZ","20240313","20.42","20.78","20.29","20.55","20.45","0.1","0.489","138166.93","283990.565"
"300001.SZ","20240312","20.8","20.85","20.26","20.45","20.74","-0.29","-1.3983","157689","322285.93"
"300001.SZ","20240311","20.15","20.82","20.12","20.74","20.13","0.61","3.0303","193460.28","397820.42"
"300001.SZ","20240308","19.81","20.22","19.81","20.13","19.88","0.25","1.2575","110876.65","222827.677"
"300001.SZ","20240307","20.4","20.65","19.88","19.88","20.52","-0.64","-3.1189","164394.16","331962.662"
"300001.SZ","20240306","20.13","20.8","20","20.52","20.25","0.27","1.3333","185289.73","379789.725"
"300001.SZ","20240305","20.06","20.45","19.92","20.25","20.2","0.05","0.2475","158154.45","320303.716"
"300001.SZ","20240304","20.19","20.55","19.96","20.2","20.44","-0.24","-1.1742","244894.25","493975.466"
"300001.SZ","20240301","19.97","21.55","19.61","20.44","19.86","0.58","2.9204","341264.01","700429.065"
"300001.SZ","20240229","18.88","19.86","18.88","19.86","18.87","0.99","5.2464","207760.12","406403.936"
"300001.SZ","20240228","19.48","19.86","18.87","18.87","19.49","-0.62","-3.1811","187643.32","364705.909"
"300001.SZ","20240227","19.1","19.49","18.95","19.49","19.16","0.33","1.7223","132151.45","255387.034"
"300001.SZ","20240226","18.9","19.44","18.52","19.16","19.18","-0.02","-0.1043","151631.52","288124.934"
"300001.SZ","20240223","19.18","19.3","18.87","19.18","19.22","-0.04","-0.2081","114165","217864.564"
"300001.SZ","20240222","19.11","19.32","19.02","19.22","19.22","0","0","101471.71","194615.271"
"300001.SZ","20240221","19.19","19.79","19.02","19.22","19.28","-0.06","-0.3112","138738.68","269125.535"
"300001.SZ","20240220","19.38","19.48","18.95","19.28","19.48","-0.2","-1.0267","104847.7","200931.339"
"300001.SZ","20240219","19.67","19.74","19.2","19.48","19.42","0.06","0.309","158146.72","307943.929"
"300001.SZ","20240208","19.07","20.16","19.06","19.42","18.8","0.62","3.2979","247381.38","488301.832"
"300001.SZ","20240207","17.5","18.88","17.41","18.8","17.61","1.19","6.7575","268489.7","496758.702"
"300001.SZ","20240206","15.71","17.73","15.5","17.61","15.8","1.81","11.4557","204411.91","345262.668"
"300001.SZ","20240205","16.53","16.62","15.1","15.8","16.63","-0.83","-4.991","222031.52","352339.251"
"300001.SZ","20240202","16.98","17.2","16.11","16.63","16.88","-0.25","-1.481","153813.74","258507.2"
"300001.SZ","20240201","16.8","17.28","16.61","16.88","16.86","0.02","0.1186","130854.63","222128.404"
"300001.SZ","20240131","17.3","17.66","16.71","16.86","17.38","-0.52","-2.9919","143094.53","245077.061"
"300001.SZ","20240130","18.25","18.33","17.34","17.38","17.8","-0.42","-2.3596","166726.9","297541.15"
"300001.SZ","20240129","18.01","18.21","17.58","17.8","18","-0.2","-1.1111","115440","205320.491"
